"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1988","1000","Canadian dollar","2008","Western calendar year","71567000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1988","100","Canadian dollar                         ","1993","Western calendar year","71954000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1988","1000","Canadian dollar","2008","Western calendar year","24775000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1988","100","Canadian dollar                         ","1993","Western calendar year","24775000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1987","1000","Canadian dollar","2008","Western calendar year","63313000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1987","100","Canadian dollar                         ","1993","Western calendar year","63585000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1987","1000","Canadian dollar","2008","Western calendar year","21721000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1987","100","Canadian dollar                         ","1993","Western calendar year","21721000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1986","1000","Canadian dollar","2008","Western calendar year","56253000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1986","100","Canadian dollar                         ","1993","Western calendar year","56321000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1986","1000","Canadian dollar","2008","Western calendar year","19601000000",""
"Canada","4.5","II.2 Secondary distribution of income account - Resources","Social contributions","D.61","1986","100","Canadian dollar                         ","1993","Western calendar year","19601000000",""
"Canada","4.5","II.1.2 Allocation of primary income account - Resources","Taxes on production and imports, less Subsidies","D.2-D.3","1985","1000","Canadian dollar","2008","Western calendar year","48938000000",""
